bodega_id,sku,nombre_raw,nombre_norm,unidad
almacen_suministros,95010466,GUANTE DE NITRILO  TALLA M CJ X 50 PARES,GUANTE DE NITRILO TALLA M CJ X 50 PARES,Unidad
almacen_suministros,95010394,GUANTES DE POLIETILENO CJX50 PARES,GUANTES DE POLIETILENO CJX50 PARES,Unidad
almacen_suministros,1394890,HIDROXIDOALUMINIO 6G/100ML SSN FCOX360ML,HIDROXIDOALUMINIO 6G/100ML SSN FCOX360ML,Unidad
almacen_suministros,95000902,HT.FC.35 ORDENES DE BEBIDA LIBX50,HT.FC.35 ORDENES DE BEBIDA LIBX50,Unidad
almacen_suministros,95001520,HUELLERO BASE DE ACEITE BORRA FACIL #50,HUELLERO BASE DE ACEITE BORRA FACIL #50,Unidad
almacen_suministros,95031303,JABON LÍQUIDO EPROCARE 3780ML/1 GALÓN,JABON LIQUIDO EPROCARE 3780ML/1 GALON,Unidad
almacen_suministros,736176,JERINGA CJX100 5CC C/AGUJA 21G/1 1/,JERINGA CJX100 5CC C/AGUJA 21G/1 1/,Unidad
almacen_suministros,95001248,LAPIZ MINA NEGRA,LAPIZ MINA NEGRA,Unidad
almacen_suministros,95001235,LEGAJADOR AZ TAMAÑO OFICIO,LEGAJADOR AZ TAMANO OFICIO,Unidad
almacen_suministros,95001429,LIBRO CONTABILIDAD 400 FOLIOS 3 COLUMNAS,LIBRO CONTABILIDAD 400 FOLIOS 3 COLUMNAS,Unidad
almacen_suministros,95008221,LIJA AGUA No. 120,LIJA AGUA NO. 120,Unidad
almacen_suministros,95022243,LIMPIADOR EN CREMA LEMON EZE LITRO,LIMPIADOR EN CREMA LEMON EZE LITRO,Unidad
almacen_suministros,95004948,LIMPIAVIDRIOS FRASCO 500 ML,LIMPIAVIDRIOS FRASCO 500 ML,Unidad
almacen_suministros,95009577,LIMPION PAPEL NATURAL INDUSTR RLLX550MT,LIMPION PAPEL NATURAL INDUSTR RLLX550MT,Unidad
almacen_suministros,95006744,LIMPION WYPOL X-70 REUTILIZABLE CJ X 6RLS,LIMPION WYPOL X-70 REUTILIZABLE CJ X 6RLS,Unidad
almacen_suministros,95020335,LLANTA 245/50 R16,LLANTA 245/50 R16,Unidad
almacen_suministros,95027270,LLANTA DIRECCIONAL 215/75 R17.5 PISCIMOV,LLANTA DIRECCIONAL 215/75 R17.5 PISCIMOV,Unidad
almacen_suministros,95027269,LLANTA TRACCION 215/75 R17.5 PISCIMOVIL,LLANTA TRACCION 215/75 R17.5 PISCIMOVIL,Unidad
almacen_suministros,95004875,LLAVEROS CON LOGOTIPO ACRILICOS,LLAVEROS CON LOGOTIPO ACRILICOS,Unidad
almacen_suministros,1294843,LOPERAMIDA 2MG TAB CJX6TAB GE,LOPERAMIDA 2MG TAB CJX6TAB GE,Unidad
almacen_suministros,95019897,MALLA DELGADA A&B PARA EL CABELLO 50MM,MALLA DELGADA A&B PARA EL CABELLO 50MM,Unidad
almacen_suministros,95001251,MARCADOR BORRABLE COLORES SURTIDOS X 4UN,MARCADOR BORRABLE COLORES SURTIDOS X 4UN,Unidad
almacen_suministros,95001259,MARCADOR PERM.PUNTA FINA SURTIDO X 4UN,MARCADOR PERM.PUNTA FINA SURTIDO X 4UN,Unidad
almacen_suministros,95001252,MARCADOR PERMANENTE NEGRO,MARCADOR PERMANENTE NEGRO,Unidad
almacen_suministros,95019537,MARCADOR POSTERMARKER 20mm NEGRO,MARCADOR POSTERMARKER 20MM NEGRO,Unidad
almacen_suministros,95019535,MARCADOR POSTERMARKER 20mm ROJO,MARCADOR POSTERMARKER 20MM ROJO,Unidad
almacen_suministros,95019562,MARCADOR POSTERMARKER 30mm ROJO,MARCADOR POSTERMARKER 30MM ROJO,Unidad
almacen_suministros,356092,MAREOL 50MG CJX12TAB WY,MAREOL 50MG CJX12TAB WY,Unidad
almacen_suministros,95004482,MASCARILLA DESECHABLE CAUCHOS CJX50 UN,MASCARILLA DESECHABLE CAUCHOS CJX50 UN,Unidad
almacen_suministros,95019405,MECHA PARA CALENTADOR SAMOVAR PAQX7,MECHA PARA CALENTADOR SAMOVAR PAQX7,Unidad
almacen_suministros,95004117,MECHA PARA TRAPERO REF.1000 DE 405 GR,MECHA PARA TRAPERO REF.1000 DE 405 GR,Unidad
almacen_suministros,95023482,MEZCLADOR EN MADERA 11CM PAQ X 1000,MEZCLADOR EN MADERA 11CM PAQ X 1000,Unidad
almacen_suministros,95032368,MOLDE ALUMINIO LASAÑA 16 ONZAS,MOLDE ALUMINIO LASANA 16 ONZAS,Unidad
almacen_suministros,1316332,OF-NEXCARE MICRO PIEL 24X5 PG:4LLV:5M 3,OF-NEXCARE MICRO PIEL 24X5 PG:4LLV:5M 3,Unidad
almacen_suministros,97503216,OLLA ALUMINIO CON TAPA 2 LT,OLLA ALUMINIO CON TAPA 2 LT,Unidad
almacen_suministros,95027101,ORGANIZADOR CONSUMIBLES EST.CAFE,ORGANIZADOR CONSUMIBLES EST.CAFE,Unidad
almacen_suministros,95010839,PAILA ALUMINIO NO. 50 ESCURRIDORA,PAILA ALUMINIO NO. 50 ESCURRIDORA,Unidad
almacen_suministros,97500797,"PALA MARMITA EN ACERO INOXID REF:, 42,4""","PALA MARMITA EN ACERO INOXID REF:, 42,4""",Unidad
almacen_suministros,95009613,PALILLO MADERA PARA HAMBURGUESA PAQX100,PALILLO MADERA PARA HAMBURGUESA PAQX100,Unidad
almacen_suministros,95023584,PALO DE BAMBU ROJO,PALO DE BAMBU ROJO,Unidad
almacen_suministros,6872,PANOTIL B 8000UI-40MG SOL OT  FCOX8ML,PANOTIL B 8000UI-40MG SOL OT FCOX8ML,Unidad
